,OBJECTID,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,TATT_I_BRUK,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,REGISTRERT_IGANGSATT_DATO,REGISTRERT_GODKJENT_DATO,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINAT_TYPE,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,UKOORDINAT_TYPE,UKOORDINATSYSTEM_NR,UKOORDINATSYSTEM_NAVN,UKOORDINAT_KVALITET_KODE,UKOORDINAT_KVALITET_NAVN,UX_KOORDINAT,UY_KOORDINAT,UZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL,Byggtype_profet,Energistandard_profet,Energibronn,Energiomraadeid,SHAPE,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,_nettutveksling_energi,_nettutveksling_effekt,_utetemperatur,_termisk_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,_nettutveksling_energi_liste
38200,38201,5249912,30,VIKEN,3003,SARPSBORG,300272009,0,181,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,20120109,20150616,20150616,Y,Annet som ikke er næring,,,20120113,10101,,Ikke utfylt,36.0,0.0,36.0,1,,L,22,EUREF89 UTM Sone 32,,,6570377.9,624128.4,,U,23,EUREF89 UTM Sone 33,,,6574603.94,282049.58,0.0,1,N,39.0,A,Y,,C,"{'x': 624128.4000000004, 'y': 6570377.9, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,0,500.0,1.0,[0],[0.49241328 0.45981012 0.4425996  ... 0.62319802 0.56089617 0.53215294],[0.149919  0.1167045 0.104907  ... 0.2575485 0.2295975 0.182226 ],0,0,0,0,[-0. -0. -0. ... -0. -0. -0.],[0.64233228 0.57651462 0.5475066  ... 0.88074652 0.79049367 0.71437894]
38201,38202,5249951,30,VIKEN,3003,SARPSBORG,300272050,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,20120110,20171117,20171120,Y,Annet som ikke er næring,,,20120113,10101,1,Tilkn. off. vannverk,184.0,0.0,184.0,1,,L,22,EUREF89 UTM Sone 32,,,6574393.5,625812.0,,U,23,EUREF89 UTM Sone 33,,,6578453.37,284088.24,0.0,1,N,200.0,A,Z,,C,"{'x': 625812, 'y': 6574393.5, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,True,-14000.0,1.0,[0],[1.88449313 1.66925632 1.61228403 ... 2.38413525 2.03251872 1.96477132],[0.76625267 0.59648967 0.53619133 ... 1.316359   1.17349833 0.93137733],0,0,0,"[-1.88449313 -1.66925632 -1.61228403 ... -2.38413525 -2.03251872
 -1.96477132]",[-0. -0. -0. ... -0. -0. -0.],[0.76625267 0.59648967 0.53619133 ... 1.316359   1.17349833 0.93137733]
38202,38203,5250393,30,VIKEN,3003,SARPSBORG,300272449,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,10101,20160118,20160118,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,30.0,0.0,30.0,1,,L,22,EUREF89 UTM Sone 32,,,6572751.6,620139.9,,U,23,EUREF89 UTM Sone 33,,,6577327.78,278289.14,0.0,1,N,46.0,A,Y,,A,"{'x': 620139.9000000004, 'y': 6572751.6, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,-2200.0,1.0,[0],[0.4103444  0.3831751  0.368833   ... 0.51933168 0.46741348 0.44346078],[0.1249325  0.09725375 0.0874225  ... 0.21462375 0.19133125 0.151855  ],[0.11724126 0.1094786  0.10538086 ... 0.14838048 0.13354671 0.12670308],"[-0.29310314 -0.2736965  -0.26345214 ... -0.3709512  -0.33386677
 -0.3167577 ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],[0.35941502 0.31621095 0.29818421 ... 0.51138471 0.45842467 0.40526116]
38203,38204,5251110,30,VIKEN,3003,SARPSBORG,300273087,0,111,Enebolig,FA,Ferdigattest,10101,20120116,20121011,20121011,X,Bolig,,,20120118,10101,1,Tilkn. off. vannverk,189.0,189.0,0.0,2,1,L,22,EUREF89 UTM Sone 32,,,6572914.6,624957.4,,U,23,EUREF89 UTM Sone 33,,,6577056.78,283103.73,0.0,1,N,135.0,A,Y,,C,"{'x': 624957.4000000004, 'y': 6572914.6, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,2900.0,4.0,[0],[2.58516973 2.4140031  2.32364791 ... 3.2717896  2.94470492 2.79380293],[0.78707476 0.61269863 0.55076174 ... 1.35212962 1.20538687 0.95668649],[0.73861992 0.68971517 0.6638994  ... 0.93479703 0.84134426 0.79822941],"[-1.8465498  -1.72428793 -1.65974851 ... -2.33699257 -2.10336066
 -1.99557352]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],[2.2643146  1.99212898 1.87856055 ... 3.22172368 2.88807539 2.55314531]
38204,38205,5251116,30,VIKEN,3003,SARPSBORG,300273098,0,181,Garasjeuthus anneks til bolig,FA,Ferdigattest,10101,20120116,20121011,20121011,Y,Annet som ikke er næring,,,20120118,10101,,Ikke utfylt,36.0,0.0,36.0,1,,L,22,EUREF89 UTM Sone 32,,,6572921.8,624943.3,,U,23,EUREF89 UTM Sone 33,,,6577065.22,283090.33,0.0,1,N,40.0,A,Y,,C,"{'x': 624943.2999999998, 'y': 6572921.800000001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,True,-2800.0,0.0,[0],[0.49241328 0.45981012 0.4425996  ... 0.62319802 0.56089617 0.53215294],[0.149919  0.1167045 0.104907  ... 0.2575485 0.2295975 0.182226 ],0,0,0,"[-0.49241328 -0.45981012 -0.4425996  ... -0.62319802 -0.56089617
 -0.53215294]",[-0. -0. -0. ... -0. -0. -0.],[0.149919  0.1167045 0.104907  ... 0.2575485 0.2295975 0.182226 ]
38205,38206,5251451,30,VIKEN,3003,SARPSBORG,300273384,0,181,Garasjeuthus anneks til bolig,MF,Meldingssak tiltak fullført,10101,10101,10101,10101,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,14.0,0.0,14.0,1,,L,22,EUREF89 UTM Sone 32,,,6574444.7,617415.6,,U,23,EUREF89 UTM Sone 33,,,6579259.87,275727.03,0.0,1,N,15.0,,,,A,"{'x': 617415.5999999996, 'y': 6574444.699999999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0.0,0,0.0,0.0,[0],[0],[0],0,0,0,0,0,0
38206,38207,5251783,30,VIKEN,3003,SARPSBORG,300273694,0,182,Garasjeuth.anneks til fritidb,TB,Tatt i bruk,10101,20120118,20150625,20150625,Y,Annet som ikke er næring,,,20120120,10101,,Ikke utfylt,15.0,0.0,15.0,1,,L,22,EUREF89 UTM Sone 32,,,6559526.8,624446.9,,U,23,EUREF89 UTM Sone 33,,,6563763.84,281391.45,0.0,1,N,17.0,A,Y,,D,"{'x': 624446.9000000004, 'y': 6559526.800000001, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,0,0.0,0,1400.0,0.0,[0],[0.2051722  0.19158755 0.1844165  ... 0.25966584 0.23370674 0.22173039],[0.06246625 0.04862688 0.04371125 ... 0.10731188 0.09566562 0.0759275 ],[0.05862063 0.0547393  0.05269043 ... 0.07419024 0.06677335 0.06335154],"[-0.14655157 -0.13684825 -0.13172607 ... -0.1854756  -0.16693339
 -0.15837885]",[0. 0. 0. ... 0. 0. 0.],0,0,[0.17970751 0.15810547 0.14909211 ... 0.25569236 0.22921233 0.20263058]
38207,38208,5251827,30,VIKEN,3003,SARPSBORG,300273771,0,121,"Tomannsbolig, vertikaldelt",FA,Ferdigattest,10101,20120110,20120806,20120905,X,Bolig,T,Tilbygg,20120120,10101,1,Tilkn. off. vannverk,172.0,172.0,0.0,3,1,L,22,EUREF89 UTM Sone 32,,,6575247.5,616663.7,,U,23,EUREF89 UTM Sone 33,,,6580127.44,275050.08,0.0,1,N,119.0,A,Y,,A,"{'x': 616663.7000000002, 'y': 6575247.5, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0.0,0,3000.0,4.0,[0],[2.35264123 2.19687055 2.11464254 ... 2.97750165 2.67983728 2.54250849],[0.71627967 0.55758817 0.50122233 ... 1.2305095  1.09696583 0.87063533],[0.67218321 0.6276773  0.60418358 ... 0.85071476 0.76566779 0.726431  ],"[-1.68045802 -1.56919325 -1.51045896 ... -2.12678689 -1.91416949
 -1.81607749]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],[2.06064609 1.81294277 1.7095895  ... 2.93193901 2.62830142 2.32349732]
38208,38209,5252851,30,VIKEN,3003,SARPSBORG,300274667,0,181,Garasjeuthus anneks til bolig,MF,Meldingssak tiltak fullført,10101,10101,10101,10101,Y,Annet som ikke er næring,,,10101,10101,,Ikke utfylt,47.0,0.0,47.0,1,,L,22,EUREF89 UTM Sone 32,,,6569423.2,625375.6,,U,23,EUREF89 UTM Sone 33,,,6573540.57,283206.36,0.0,1,N,49.0,,,,C,"{'x': 625375.5999999996, 'y': 6569423.199999999, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,0.0,0.0,[0],[0],[0],0,0,0,0,0,0
38209,38210,5253582,30,VIKEN,3003,SARPSBORG,300275337,0,182,Garasjeuth.anneks til fritidb,FA,Ferdigattest,10101,20120123,20170503,20170503,Y,Annet som ikke er næring,,,20120127,10101,1,Tilkn. off. vannverk,2.0,0.0,2.0,1,,L,22,EUREF89 UTM Sone 32,,,6556138.9,626934.0,,U,23,EUREF89 UTM Sone 33,,,6560164.9,283565.11,0.0,1,N,3.0,A,Z,,D,"{'x': 626934, 'y': 6556138.9, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,0,0.0,0,200.0,0.0,[0],[0.02048362 0.01814409 0.01752483 ... 0.02591451 0.02209259 0.02135621],[0.00832883 0.00648358 0.00582817 ... 0.01430825 0.01275542 0.01012367],[0.00585246 0.00518403 0.00500709 ... 0.00740415 0.00631217 0.00610177],"[-0.01463116 -0.01296006 -0.01251773 ... -0.01851037 -0.01578042
 -0.01525444]",[0. 0. 0. ... 0. 0. 0.],0,0,[0.02003376 0.01685164 0.01584235 ... 0.02911654 0.02537976 0.02232722]
