,OBJECTID,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,TATT_I_BRUK,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,REGISTRERT_IGANGSATT_DATO,REGISTRERT_GODKJENT_DATO,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINAT_TYPE,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,UKOORDINAT_TYPE,UKOORDINATSYSTEM_NR,UKOORDINATSYSTEM_NAVN,UKOORDINAT_KVALITET_KODE,UKOORDINAT_KVALITET_NAVN,UX_KOORDINAT,UY_KOORDINAT,UZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL,Byggtype_profet,Energistandard_profet,Energibronn,Energiomraadeid,SHAPE,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,_utetemperatur,_termisk_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_effekt
1000,1001,32064,30,VIKEN,3003,SARPSBORG,352659,0,136,Andre småhus m/3 boliger el fl,TB,Tatt i bruk,10101,10101,19000615,19000615,X,Bolig,,,10101,10101,1,Tilkn. off. vannverk,266.0,266.0,0.0,3,3,L,22,EUREF89 UTM Sone 32,,,6573065.9,620869.5,,U,23,EUREF89 UTM Sone 33,,,6577575.29,279044.36,0.0,1,N,0.0,A,X,,A,"{'x': 620869.5, 'y': 6573065.9, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0.0,True,[0],[6.1075707  5.73506749 5.50606431 ... 7.38032213 6.78235976 6.58856477],[1.10773484 0.86231659 0.77514616 ... 1.90299725 1.69647041 1.34644766],0,0,0,"[-6.1075707  -5.73506749 -5.50606431 ... -7.38032213 -6.78235976
 -6.58856477]",0,[1.10773484 0.86231659 0.77514616 ... 1.90299725 1.69647041 1.34644766],10700.0,2.0
1001,1002,32065,30,VIKEN,3003,SARPSBORG,352667,0,122,"Tomannsbolig, horisontaldelt",TB,Tatt i bruk,10101,10101,19351115,19351115,X,Bolig,,,10101,10101,1,Tilkn. off. vannverk,272.0,272.0,0.0,4,2,L,22,EUREF89 UTM Sone 32,--,UOppgitt,6573100.0,620845.0,0.0,U,23,EUREF89 UTM Sone 33,--,UOppgitt,6577611.48,279023.02,0.0,1,N,0.0,A,X,,A,"{'x': 620845, 'y': 6573100, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0.0,0,[0],[6.24533545 5.86442992 5.63026125 ... 7.54679556 6.93534532 6.73717902],[1.13272134 0.88176734 0.79263066 ... 1.945922   1.73473666 1.37681866],0,0,0,0,0,[7.37805679 6.74619726 6.42289191 ... 9.49271756 8.67008198 8.11399767],52700.0,16.0
1002,1003,32066,30,VIKEN,3003,SARPSBORG,352691,0,122,"Tomannsbolig, horisontaldelt",TB,Tatt i bruk,10101,10101,18980615,18980615,X,Bolig,,,10101,10101,1,Tilkn. off. vannverk,291.0,291.0,0.0,3,2,L,22,EUREF89 UTM Sone 32,--,UOppgitt,6573249.0,620635.0,0.0,U,23,EUREF89 UTM Sone 33,--,UOppgitt,6577778.83,278827.19,0.0,1,N,0.0,A,X,,A,"{'x': 620635, 'y': 6573249, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,0,0.0,0,[0],[6.6815905  6.27407759 6.02355156 ... 8.07396142 7.41979959 7.20779079],[1.21184526 0.94336138 0.84799824 ... 2.08185038 1.85591312 1.47299349],[1.90902586 1.7925936  1.72101473 ... 2.30684612 2.11994274 2.0593688 ],"[-4.77256464 -4.481484   -4.30253683 ... -5.7671153  -5.29985685
 -5.14842199]",[0. 0. 0. ... 0. 0. 0.],0,0,[5.02989697 4.52854858 4.2900277  ... 6.69554262 6.0957986  5.59173108],37200.0,10.0
1003,1004,32069,30,VIKEN,3003,SARPSBORG,352748,0,111,Enebolig,TB,Tatt i bruk,10101,10101,18980615,18980615,X,Bolig,,,10101,10101,1,Tilkn. off. vannverk,211.0,211.0,0.0,3,1,L,22,EUREF89 UTM Sone 32,--,UOppgitt,6573271.0,620599.0,0.0,U,23,EUREF89 UTM Sone 33,--,UOppgitt,6577803.99,278793.3,0.0,1,N,0.0,A,X,,A,"{'x': 620599, 'y': 6573271, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,True,0.0,True,[0],[4.84472713 4.54924527 4.36759237 ... 5.85431567 5.37999214 5.22626755],[0.87869192 0.68401805 0.61487158 ... 1.50952037 1.34569645 1.06804683],0,0,0,"[-4.84472713 -4.54924527 -4.36759237 ... -5.85431567 -5.37999214
 -5.22626755]",[-0. -0. -0. ... -0. -0. -0.],[0.87869192 0.68401805 0.61487158 ... 1.50952037 1.34569645 1.06804683],900.0,2.0
1004,1005,32071,30,VIKEN,3003,SARPSBORG,352764,0,319,Annen kontorbygning,TB,Tatt i bruk,10101,10101,18980615,18980615,Q,Helse- og sosialtjenester,,,10101,10101,1,Tilkn. off. vannverk,121.0,0.0,121.0,3,,L,22,EUREF89 UTM Sone 32,--,UOppgitt,6573279.0,620581.0,0.0,U,23,EUREF89 UTM Sone 33,--,UOppgitt,6577813.58,278776.08,0.0,1,N,0.0,C,X,,A,"{'x': 620581, 'y': 6573279, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,0,0,[0],[1.60329857 1.62320428 1.62785602 ... 1.82456958 1.76611169 1.71802391],[1.36099082 1.35397729 1.35033036 ... 1.41205984 1.39326503 1.36868448],[0.32698203 0.32698203 0.32698203 ... 0.32698203 0.32698203 0.32698203],"[-0.81745507 -0.81745507 -0.81745507 ... -0.81745507 -0.81745507
 -0.81745507]",[0.45886148 0.47876719 0.48341892 ... 0.68013248 0.6216746  0.57358681],0,[-0. -0. -0. ... -0. -0. -0.],[2.93267782 2.96547572 2.97113225 ... 3.42628885 3.29057828 3.16982217],28900.0,13.0
1005,1006,32072,30,VIKEN,3003,SARPSBORG,352780,0,322,Butikk/forretningsbygning,TB,Tatt i bruk,10101,10101,19000615,19000615,G,"Varehandel, reparasjon av motorvogner",,,10101,10101,1,Tilkn. off. vannverk,558.0,0.0,558.0,3,,L,22,EUREF89 UTM Sone 32,--,UOppgitt,6573302.0,620555.0,0.0,U,23,EUREF89 UTM Sone 33,--,UOppgitt,6577838.83,278752.25,0.0,1,N,0.0,D,X,,A,"{'x': 620555, 'y': 6573302, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,0,0,0,[0],"[ 9.46287698  9.50368045  9.47748185 ... 10.2847366  10.21592923
 10.27006739]",[5.58607216 5.4203774  5.33920961 ... 5.92837781 5.6645197  5.48578951],[1.88490917 1.88490917 1.88490917 ... 1.88490917 1.88490917 1.88490917],"[-4.71227293 -4.71227293 -4.71227293 ... -4.71227293 -4.71227293
 -4.71227293]",[2.86569488 2.90649835 2.88029975 ... 3.68755449 3.61874712 3.67288529],0,0,"[15.08728025 15.00319244 14.86962744 ... 17.07330515 16.6718323
 16.60137844]",150200.0,58.0
1006,1007,32075,30,VIKEN,3003,SARPSBORG,352802,0,136,Andre småhus m/3 boliger el fl,TB,Tatt i bruk,10101,10101,18980615,18980615,X,Bolig,,,10101,10101,1,Tilkn. off. vannverk,180.0,180.0,0.0,2,4,L,22,EUREF89 UTM Sone 32,--,UOppgitt,6573299.0,620507.0,0.0,U,23,EUREF89 UTM Sone 33,--,UOppgitt,6577840.16,278704.15,0.0,1,N,0.0,A,X,,A,"{'x': 620507, 'y': 6573299, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0.0,True,[0],[4.13294258 3.88087274 3.72590818 ... 4.99420294 4.58956676 4.45842729],[0.74959501 0.58352251 0.52453499 ... 1.2877425  1.14798749 0.91112999],0,0,0,"[-4.13294258 -3.88087274 -3.72590818 ... -4.99420294 -4.58956676
 -4.45842729]",0,[0.74959501 0.58352251 0.52453499 ... 1.2877425  1.14798749 0.91112999],7200.0,1.0
1007,1008,32077,30,VIKEN,3003,SARPSBORG,352837,0,672,Bedehus menighetshus,TB,Tatt i bruk,10101,10101,19100615,19100615,Q,Helse- og sosialtjenester,,,10101,10101,1,Tilkn. off. vannverk,397.0,0.0,397.0,3,,L,22,EUREF89 UTM Sone 32,--,UOppgitt,6573299.0,620489.0,0.0,U,23,EUREF89 UTM Sone 33,--,UOppgitt,6577841.78,278686.22,0.0,1,N,0.0,I,X,,A,"{'x': 620489, 'y': 6573299, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,True,0,[0],"[13.61446483 10.09401378 10.44297745 ... 17.20565474 16.55757233
 16.07286093]",[3.97432015 3.85643339 3.79868497 ... 4.2178602  4.03013319 3.90297211],[4.27757371 4.27757371 4.27757371 ... 4.27757371 4.27757371 4.27757371],"[-5.13308845 -5.13308845 -5.13308845 ... -5.13308845 -5.13308845
 -5.13308845]",[4.20380267 0.68335161 1.03231529 ... 7.79499257 7.14691016 6.66219877],0,0,"[20.93707291 13.77828404 14.41846297 ... 28.36299277 26.87910094
 25.78251707]",181900.0,82.0
1008,1009,32079,30,VIKEN,3003,SARPSBORG,352853,0,322,Butikk/forretningsbygning,TB,Tatt i bruk,10101,10101,19030615,19030615,G,"Varehandel, reparasjon av motorvogner",,,10101,10101,1,Tilkn. off. vannverk,714.0,208.0,506.0,4,1,L,22,EUREF89 UTM Sone 32,--,UOppgitt,6573318.0,620478.0,0.0,U,23,EUREF89 UTM Sone 33,--,UOppgitt,6577861.7,278676.97,0.0,1,N,0.0,D,X,,A,"{'x': 620478, 'y': 6573318, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,True,0,[0],"[12.10841248 12.16062338 12.12710043 ... 13.16003931 13.07199547
 13.14126903]",[7.14776975 6.93575173 6.83189186 ... 7.58577376 7.24814887 7.0194511 ],[3.83707073 3.83707073 3.83707073 ... 3.83707073 3.83707073 3.83707073],"[-4.60448487 -4.60448487 -4.60448487 ... -4.60448487 -4.60448487
 -4.60448487]",[3.66685688 3.71906778 3.68554483 ... 4.71848371 4.63043987 4.69971343],0,0,"[22.15562497 22.04802874 21.87712299 ... 24.69688263 24.18317006
 24.09301942]",212100.0,77.0
1009,1010,32081,30,VIKEN,3003,SARPSBORG,352861,0,323,Bensinstasjon,TB,Tatt i bruk,10101,10101,19600615,19600615,G,"Varehandel, reparasjon av motorvogner",,,10101,10101,1,Tilkn. off. vannverk,394.0,58.0,336.0,3,1,L,22,EUREF89 UTM Sone 32,--,UOppgitt,6573319.0,620436.0,0.0,U,23,EUREF89 UTM Sone 33,--,UOppgitt,6577866.48,278635.21,0.0,1,N,0.0,L,X,,A,"{'x': 620436, 'y': 6573319, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",0,0,0,0,[0],[7.13249154 6.92299358 6.92771441 ... 8.10996023 7.86475374 7.74090992],[4.01355889 3.94039625 3.90171246 ... 4.26830515 4.14884459 4.03537948],0,0,0,0,0,"[11.14605043 10.86338983 10.82942687 ... 12.37826538 12.01359832
 11.7762894 ]",106400.0,31.0
